"","var","mediaSemPar","pValueSemPar","pValueSemParDist","mediaComPar","pValueComPar","pValueComParDist"
"1","id_real",2.36,0.0925,0.1205,3.2,0.0273,0.0208
"2","sexoT",-0.15,0.0105,0.0132,-0.24,1e-04,1e-04
"3","racaT",0.04,0.4539,0.4803,0.08,0.1775,0.2178
"4","idadeConclusao",0.76,0.2797,0.4862,0.81,0.2496,0.3863
"5","maeMedioCompleto",0.01,0.8961,0.8979,0.01,0.8923,1
