"","var","mediaSemPar","pValueSemPar","pValueSemParDist","mediaComPar","pValueComPar","pValueComParDist"
"1","id_real",3.83,0.0182,0.0206,0.63,0.7073,0.5667
"2","sexoT",-0.16,0.0087,0.0125,-0.06,0.3451,0.4174
"3","idadeConclusao",-1.28,0.0923,0.1512,-0.25,0.7397,0.9848
"4","racaT",0.11,0.0756,0.0759,0.04,0.5866,0.6813
"5","maeMedioCompleto",-0.04,0.4781,0.5406,0,1,1
