"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",82.7079073818182,4.34518313646658,19.0343892959768,4.76354223647532e-28
"2","Autogestao",16.1800704,6.1450169225859,2.63303919319253,0.0105968929569677
