"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",85.2339349442623,2.67041186571839,31.917898522868,2.79417999338556e-71
"2","AberturaNovo",14.2979656991339,3.91645138453343,3.65074509940259,0.00035369878805272
"3","ensinoFundCompleto",9.99175684145197,5.2768594631507,1.89350444354758,0.0600959253222941
"4","AberturaNovo:ensinoFundCompleto",-3.27441183657233,7.14511278605675,-0.458272939086719,0.647378181552303
