"","var","mediaSemPar","pValueSemPar","pValueSemParDist","mediaComPar","pValueComPar","pValueComParDist"
"1","id_real",2.36,0.0925,0.1193,0.35,0.8179,0.7599
"2","sexoT",-0.15,0.0105,0.0136,-0.05,0.4603,0.4697
"3","racaT",0.04,0.4539,0.4799,0.06,0.3916,0.4537
"4","idadeConclusao",0.76,0.2797,0.488,-0.17,0.7732,0.8046
"5","maeMedioCompleto",0.01,0.8961,0.8961,0.03,0.6655,0.7196
