"","var","mediaSemPar","pValueSemPar","pValueSemParDist","mediaComPar","pValueComPar","pValueComParDist"
"1","id_real",1.53,0.5745,0.2613,0.32,0.9222,0.8784
"2","sexoT",0.04,0.7245,0.8184,-0.08,0.5805,0.7783
"3","racaT",0.11,0.3547,0.3636,0.04,0.782,1
"4","idadeConclusao",-0.93,0.2971,0.825,-0.76,0.4205,0.7976
"5","maeMedioCompleto",-0.09,0.3037,0.4141,0.04,0.691,1
