"","var","mediaSemPar","pValueSemPar","pValueSemParDist","mediaComPar","pValueComPar","pValueComParDist"
"1","id_real",-3.69,0.0027,0.0042,-1.57,0.3028,0.2384
"2","sexoT",0.03,0.6028,0.6477,0,0.9919,1
"3","racaT",0.01,0.9236,1,-0.04,0.607,0.6306
"4","idadeConclusao",-2.18,0.001,3e-04,-0.65,0.1943,0.1284
"5","maeMedioCompleto",0.06,0.2303,0.2417,0.02,0.7905,0.8568
