"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",103.440700646875,3.02759621165408,34.1659499535316,8.91375343721939e-101
"2","AberturaNovo",6.13684222312504,4.88185220322549,1.25707251421302,0.20979786684117
"3","ensinoMedioCompleto",10.188156853125,3.45074974393589,2.95244732569466,0.00342582573501722
"4","AberturaNovo:ensinoMedioCompleto",-1.35185888699059,5.38875808909247,-0.250866501082489,0.802105344589269
