"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",87.52734514,4.10467313196025,21.3238283113179,3.96457149176294e-26
"2","AberturaNovo",13.347256716,5.80488441232663,2.29931481282507,0.0258812392114696
