"","var","mediaSemPar","pValueSemPar","pValueSemParDist","mediaComPar","pValueComPar","pValueComParDist"
"1","id_real",1.93,0.2527,0.3362,-1.33,0.5013,0.6489
"2","sexoT",-0.03,0.6453,0.6912,-0.04,0.6406,0.7535
"3","idadeConclusao",-0.4,0.5331,0.8003,0.2,0.7684,0.878
"4","racaT",0.09,0.1548,0.1719,0.06,0.4252,0.5178
"5","maeMedioCompleto",-0.09,0.102,0.1316,0.01,0.839,1
